"EXPENSE ACCOUNT","Item No.","Description","Unit of Measure","PRICELIST"
"Office Supplies Expenses","305","Canon Gl-790 Ink Black, 70 mL","bot","693"
"Office Supplies Expenses","306","Canon Gl-790 Ink Cyan, 70 mL","bot","693"
"Office Supplies Expenses","307","Canon Gl-790 Ink Magenta, 70 mL","bot","693"
"Office Supplies Expenses","308","Canon Gl-790 Ink Yellow, 70 mL","bot","693"
"Office Supplies Expenses","309","Canon Laser Toner 325","pc","5115"
"Office Supplies Expenses","310","Ink- Canon BK-G1-790, 70ml","bot","693"
"Office Supplies Expenses","311","Ink- Canon C-G1-790, 70ml","bot","693"
"Office Supplies Expenses","312","Ink- Canon M-G1-790, 70ml","bot","693"
"Office Supplies Expenses","313","Ink- Canon Y-G1-790, 70ml","bot","693"
"","","COMPUTER SUPPLIES (DUPLO)","",""
"Office Supplies Expenses","314","Duplo Ink, DA-14, Black (for DP-A)","pc","1500"
"Office Supplies Expenses","315","Duplo Ink, G14, (for Duplo DP-G325)","pc","1493"
"Office Supplies Expenses","316","Duplo Master Roll DRA12","roll","5555"
